mass_A
t	x	y
0,000000000E0	-5,849043750E-1	3,542969153E-1
1,000000000E-2	-5,858255074E-1	3,553979772E-1
2,000000000E-2	-5,862742810E-1	3,556708478E-1
3,000000000E-2	-5,863241071E-1	3,556221903E-1
4,000000000E-2	-5,861861198E-1	3,544397498E-1
5,000000000E-2	-5,856488047E-1	3,529703346E-1
6,000000000E-2	-5,849309036E-1	3,512971384E-1
7,000000000E-2	-5,836065328E-1	3,485732325E-1
8,000000000E-2	-5,821309697E-1	3,455853304E-1
9,000000000E-2	-5,803571879E-1	3,416034991E-1
1,000000000E-1	-5,779205693E-1	3,373334620E-1
1,100000000E-1	-5,752156801E-1	3,323016089E-1
1,200000000E-1	-5,723658284E-1	3,271995982E-1
1,300000000E-1	-5,693094146E-1	3,214860215E-1
1,400000000E-1	-5,652240136E-1	3,148443120E-1
1,500000000E-1	-5,609827699E-1	3,079749262E-1
1,600000000E-1	-5,565951372E-1	3,005965833E-1
1,700000000E-1	-5,513526968E-1	2,925503020E-1
1,800000000E-1	-5,457962429E-1	2,838491245E-1
1,900000000E-1	-5,398540786E-1	2,760700672E-1
2,000000000E-1	-5,340517485E-1	2,665522579E-1
2,100000000E-1	-5,271419120E-1	2,567712235E-1
2,200000000E-1	-5,198079499E-1	2,467182942E-1
2,300000000E-1	-5,115768662E-1	2,360657284E-1
2,400000000E-1	-5,029023880E-1	2,250491521E-1
2,500000000E-1	-4,938329254E-1	2,147482504E-1
2,600000000E-1	-4,845484654E-1	2,026275427E-1
2,700000000E-1	-4,744215080E-1	1,913545161E-1
2,800000000E-1	-4,631848067E-1	1,795315801E-1
2,900000000E-1	-4,514076677E-1	1,679165328E-1
3,000000000E-1	-4,392224472E-1	1,565282914E-1
3,100000000E-1	-4,261016120E-1	1,450715376E-1
3,200000000E-1	-4,115766605E-1	1,332059971E-1
3,300000000E-1	-3,974168033E-1	1,226709111E-1
3,400000000E-1	-3,818714017E-1	1,117120352E-1
3,500000000E-1	-3,658532695E-1	1,010813856E-1
3,600000000E-1	-3,488953326E-1	9,126691708E-2
3,700000000E-1	-3,315835770E-1	8,193115573E-2
3,800000000E-1	-3,137441033E-1	7,303599131E-2
3,900000000E-1	-2,951261448E-1	6,478797027E-2
4,000000000E-1	-2,759292433E-1	5,649506262E-2
4,100000000E-1	-2,562863081E-1	4,920802319E-2
4,200000000E-1	-2,361562033E-1	4,219973630E-2
4,300000000E-1	-2,161140113E-1	3,611967992E-2
4,400000000E-1	-1,952730678E-1	3,090383601E-2
4,500000000E-1	-1,748095555E-1	2,527454082E-2
4,600000000E-1	-1,536504571E-1	2,082421431E-2
4,700000000E-1	-1,323962559E-1	1,790564495E-2
4,800000000E-1	-1,106426877E-1	1,528139953E-2
4,900000000E-1	-8,897191675E-2	1,264707197E-2
5,000000000E-1	-6,722569087E-2	9,965442918E-3
5,100000000E-1	-4,524734404E-2	8,382118413E-3
5,200000000E-1	-2,294804389E-2	7,094255966E-3
5,300000000E-1	-1,191435953E-3	7,626556399E-3
5,400000000E-1	2,011766010E-2	7,209309975E-3
5,500000000E-1	4,223404754E-2	7,788019623E-3
5,600000000E-1	6,362917125E-2	9,486079232E-3
5,700000000E-1	8,546628147E-2	1,124524739E-2
5,800000000E-1	1,070418562E-1	1,463423165E-2
5,900000000E-1	1,268789473E-1	1,778327244E-2
6,000000000E-1	1,468621981E-1	2,128186264E-2
6,100000000E-1	1,673751473E-1	2,565195153E-2
6,200000000E-1	1,871491550E-1	3,111379171E-2
6,300000000E-1	2,066787051E-1	3,693881230E-2
6,400000000E-1	2,257959665E-1	4,341619082E-2
6,500000000E-1	2,443020182E-1	5,068841108E-2
6,600000000E-1	2,623871079E-1	5,809288490E-2
6,700000000E-1	2,795780440E-1	6,586529958E-2
6,800000000E-1	2,970906429E-1	7,488501566E-2
6,900000000E-1	3,133259890E-1	8,314900331E-2
7,000000000E-1	3,290879766E-1	9,174810955E-2
7,100000000E-1	3,445809738E-1	1,010139449E-1
7,200000000E-1	3,596381107E-1	1,102933044E-1
7,300000000E-1	3,736303570E-1	1,198613306E-1
7,400000000E-1	3,868281403E-1	1,295120713E-1
7,500000000E-1	3,999825301E-1	1,402169572E-1
7,600000000E-1	4,121185048E-1	1,496954777E-1
7,700000000E-1	4,238675073E-1	1,593362440E-1
7,800000000E-1	4,346437009E-1	1,691943798E-1
7,900000000E-1	4,452272699E-1	1,789440143E-1
8,000000000E-1	4,551703001E-1	1,887356119E-1
8,100000000E-1	4,646969540E-1	1,986813327E-1
8,200000000E-1	4,727448128E-1	2,072153933E-1
8,300000000E-1	4,813197317E-1	2,158816158E-1
8,400000000E-1	4,893246398E-1	2,246680855E-1
8,500000000E-1	4,970112936E-1	2,332530696E-1
8,600000000E-1	5,040386594E-1	2,415674998E-1
8,700000000E-1	5,107408174E-1	2,496134148E-1
8,800000000E-1	5,166305667E-1	2,570271738E-1
8,900000000E-1	5,222379190E-1	2,641086208E-1
9,000000000E-1	5,274185197E-1	2,712339120E-1
9,100000000E-1	5,321938644E-1	2,778813902E-1
9,200000000E-1	5,366320100E-1	2,834865230E-1
9,300000000E-1	5,407768137E-1	2,891555672E-1
9,400000000E-1	5,446497551E-1	2,944974384E-1
9,500000000E-1	5,477378878E-1	2,991995968E-1
9,600000000E-1	5,506293441E-1	3,033384784E-1
9,700000000E-1	5,531670173E-1	3,071670887E-1
9,800000000E-1	5,551576318E-1	3,104086288E-1
9,900000000E-1	5,571037300E-1	3,129365376E-1
1,000000000E0	5,586982638E-1	3,148444419E-1
1,010000000E0	5,599398058E-1	3,162562187E-1
1,020000000E0	5,604802385E-1	3,175226862E-1
1,030000000E0	5,614390727E-1	3,176681049E-1
1,040000000E0	5,616925289E-1	3,176916808E-1
1,050000000E0	5,616177197E-1	3,174194268E-1
1,060000000E0	5,613037819E-1	3,161179096E-1
1,070000000E0	5,602709334E-1	3,146959904E-1
1,080000000E0	5,590700842E-1	3,123037204E-1
1,090000000E0	5,574996857E-1	3,093155034E-1
1,100000000E0	5,549631618E-1	3,062902886E-1
1,110000000E0	5,529928720E-1	3,020835173E-1
1,120000000E0	5,501664317E-1	2,979552245E-1
1,130000000E0	5,466433182E-1	2,935489278E-1
1,140000000E0	5,433365362E-1	2,879697505E-1
1,150000000E0	5,391613233E-1	2,824837777E-1
1,160000000E0	5,346377707E-1	2,765711590E-1
1,170000000E0	5,294702952E-1	2,704969526E-1
