mass_A
t	x	y
0.00000	0.65654	0.55439
0.01000	0.65495	0.54774
0.02000	0.65155	0.54096
0.03000	0.64882	0.53306
0.04000	0.64614	0.52413
0.05000	0.64236	0.51475
0.06000	0.63828	0.50525
0.07000	0.63425	0.49486
0.08000	0.62993	0.48392
0.09000	0.62538	0.47208
0.10000	0.62116	0.45952
0.11000	0.61587	0.44652
0.12000	0.60990	0.43252
0.13000	0.60432	0.41819
0.14000	0.59803	0.40378
0.15000	0.59049	0.38903
0.16000	0.58303	0.37285
0.17000	0.57508	0.35668
0.18000	0.56746	0.34026
0.19000	0.55734	0.32388
0.20000	0.54771	0.30602
0.21000	0.53679	0.28863
0.22000	0.52493	0.27070
0.23000	0.51247	0.25411
0.24000	0.49921	0.23657
0.25000	0.48553	0.21863
0.26000	0.47078	0.20001
0.27000	0.45424	0.18283
0.28000	0.43757	0.16569
0.29000	0.41929	0.14868
0.30000	0.40001	0.13249
0.31000	0.38073	0.11681
0.32000	0.35944	0.10109
0.33000	0.33697	0.08727
0.34000	0.31382	0.07274
0.35000	0.29013	0.06000
0.36000	0.26483	0.04786
0.37000	0.23944	0.03667
0.38000	0.21408	0.02678
0.39000	0.18777	0.01731
0.40000	0.16059	0.00955
0.41000	0.13316	0.00399
0.42000	0.10471	-0.00152
0.43000	0.07781	-0.00506
0.44000	0.04805	-0.00849
0.45000	0.01981	-0.00974
0.46000	-0.00936	-0.01057
0.47000	-0.03700	-0.01092
0.48000	-0.06525	-0.00842
0.49000	-0.09387	-0.00663
0.50000	-0.12178	-0.00202
0.51000	-0.14902	0.00150
0.52000	-0.17650	0.00535
0.53000	-0.20264	0.01156
0.54000	-0.22851	0.01756
0.55000	-0.25440	0.02496
0.56000	-0.27986	0.03401
0.57000	-0.30476	0.04333
0.58000	-0.32863	0.05403
0.59000	-0.35230	0.06591
0.60000	-0.37461	0.07819
0.61000	-0.39626	0.09154
0.62000	-0.41719	0.10594
0.63000	-0.43583	0.12027
0.64000	-0.45422	0.13607
0.65000	-0.47062	0.15215
0.66000	-0.48537	0.16830
0.67000	-0.49979	0.18417
0.68000	-0.51283	0.20147
0.69000	-0.52464	0.21794
0.70000	-0.53671	0.23415
0.71000	-0.54830	0.25002
0.72000	-0.55859	0.26527
0.73000	-0.56807	0.28077
0.74000	-0.57740	0.29622
0.75000	-0.58627	0.31075
0.76000	-0.59442	0.32475
0.77000	-0.60153	0.33902
0.78000	-0.60820	0.35286
0.79000	-0.61512	0.36558
0.80000	-0.62094	0.37769
0.81000	-0.62624	0.38952
0.82000	-0.63123	0.40085
0.83000	-0.63589	0.41161
0.84000	-0.64075	0.42127
0.85000	-0.64478	0.43040
0.86000	-0.64861	0.43904
0.87000	-0.65200	0.44711
0.88000	-0.65570	0.45431
0.89000	-0.65926	0.46134
0.90000	-0.66225	0.46833
0.91000	-0.66486	0.47454
0.92000	-0.66731	0.48007
0.93000	-0.66987	0.48497
0.94000	-0.67172	0.48955
0.95000	-0.67338	0.49332
0.96000	-0.67517	0.49628
0.97000	-0.67654	0.49884
0.98000	-0.67770	0.50101
0.99000	-0.67841	0.50249
1.00000	-0.67890	0.50320
